Films;Note Globale
Hors d'atteinte;4.0
Hors de prix;3.4
Horton;3.4
Hot Fuzz;3.6
Hotel Normandy;2.3
Human Nature;3.1
Human Traffic;3.3
Humpday;3.0
Hyper Noël;3.0
Hénaut Président;2.7
Hôtel Paradiso, une maison sérieuse;2.4
Hôtel Transylvanie;3.0
Hôtel Transylvanie 2;3.4
Hôtesse à tout prix;2.2
I Don't Want to Sleep Alone;3.6
I Love L.A.;3.3
I Love You Phillip Morris;3.9
I Love You, Man;2.4
I Wish;3.8
Ich bin eine terroristin;2.5
Idiocracy;3.3
Idlewild gangsters club;2.3
If Only;3.4
Igby;3.0
Il a déjà tes yeux;3.3
Il cuore grande delle ragazze (Le Grand Coeur des femmes);2.1
Il n'est jamais trop tard;2.0
Il ne faut jurer de rien !;2.9
Il reste du jambon ?;1.8
Il était une fois;3.4
Il était une fois dans l'Oued;3.1
Il était une fois, une fois;2.0
Ils se marièrent et eurent beaucoup d'enfants;3.3
Ils sont partout;2.2
Imogene;2.6
Imogène McCarthery;2.6
In her shoes;3.2
In love;2.3
In the Air;3.5
In the Loop;3.8
Incognito;2.9
Incontrôlable;1.2
Indian Palace - Suite royale;3.1
Insaisissables 2;2.9
Intolérable cruauté;4.0
Intouchables;3.7
Inupiluk + Le film que nous tournerons au Groenland;3.0
Irrésistible Alfie;2.6
Irène;3.0
Italian for beginners;3.8
Iznogoud;2.8
J'adore Huckabees;3.0
J'ai faim !!!;2.6
J'arrête quand je veux;2.8
J'invente rien;2.9
J'irai cracher sur vos tongs;2.2
J'me sens pas belle;3.8
J'veux pas que tu t'en ailles;2.4
JC Comme Jésus Christ;2.3
JCVD;3.5
Jack et Julie;1.6
Jackass 3D;2.5
Jackpot;2.2
Jacky au Royaume des Filles;2.7
Jacqueline dans ma vitrine;2.7
Jalouse;3.3
Jamais contente;3.2
Jamais entre amis;3.0
Jamais le premier soir;2.1
Janice l'intérimaire;3.2
Janis et John;3.8
Jardins en automne;3.6
Jay & Bob contre-attaquent;2.7
Je Suis À Vous Tout De Suite;3.2
Je crois que je l'aime;3.6
Je déteste les enfants des autres !;2.1
Je fais feu de tout bois;3.0
Je fais le mort;2.9
Je me fais rare;3.3
Je me suis fait tout petit;2.7
Je me tue à le dire;3.4
Je ne suis pas là pour être aimé;4.3
Je préfère qu'on reste amis...;3.3
Je reste !;2.5
Je suis mort mais j'ai des amis;3.3
Je suis supporter du Standard;2.5
Je suis un no man's land;3.0
Je suis à toi;2.9
Je te survivrai;2.3
Je vais te manquer;2.3
Je veux tout;3.1
Je vous aime très beaucoup;2.5
Je voyage seule;3.3
Jean Michel Basquiat - Downtown 81;3.8
Jean-Philippe;3.5
Jennifer's Body;2.7
Jet Set;3.5
Jeune Femme;3.9
Jeux d'enfants;2.9
Jeux de dupes;2.7
John Tucker doit mourir;1.1
Johnny English;3.1
Johnny English, le retour;2.7
Jojo la frite;2.7
Joséphine;3.2
Joséphine s'arrondit;3.2
Joue-la comme Beckham;3.7
Jour J;2.9
Jour blanc;2.3
Joy;3.0
Joyeuse Fête des Mères;3.0
Joyeux bordel !;2.5
Jugatsu;3.9
Jugez-moi coupable;3.3
Julie est amoureuse;4.0
Julie et Julia;2.5
Juno;3.9
Jusqu'à ce que la fin du monde nous sépare;2.9
Jusqu'à toi;2.5
Just married (ou presque);2.8
Juste un baiser;3.5
Juste une fois !;2.6
Kaboom;4.1
Kamikaze girls;2.8
Kate & Leopold;2.8
Kevin & Perry;2.3
Kick-Ass 2;2.0
Kill Me Please;2.4
Kill Your Friends;3.2
Killing Bono;2.7
King Guillaume;2.2
King of California;2.7
Kingsman : Le Cercle d'or;3.1
Kiss & Kill;1.8
Kiss kiss (Bang Bang);2.3
Kiss kiss, bang bang;3.7
Kitchen stories;3.4
Knock;2.4
